Major,Sector/Industry,Organization/Institution,Job Title/Program,Employment Status,Class Year
History,"Arts, Entertainment, Sports, Communications and Marketing",Camp Celo,Staff,Employed,2022
History,"Education, Social & Community Services and Nonprofits",Teach For America,Teacher,Employed,2022
History,"Healthcare, Medicine, and Medical Research",University of Florida,Pre-Medicine,Continuing Education,2022
Interdisciplinary Studies,"Banking, Finance, Real Estate and Insurance",Golub Capital,LSL Research Analyst,Employed,2022
Interdisciplinary Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Verkada,Associate Account Executive,Employed,2022
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits",Watson Fellow,Fellow,Employed,2022
Interdisciplinary Studies,"Arts, Entertainment, Sports, Communications and Marketing",NBCUniversal,Production Assistant / Weekend Night Assignment Editor,Employed,2022
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research","EPIC Systems, Inc.",Project Manager,Employed,2022
Interdisciplinary Studies,"Banking, Finance, Real Estate and Insurance",Fidelity Investments,Associate,Employed,2022
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits","CIEE: Council on International Educational Exchange, Inc.","Teaching Assistant (Preschool, Elementary, Middle, and Secondary School)",Employed,2022
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",Wake Forest University,Clinical Mental Health Counseling,Continuing Education,2022
Interdisciplinary Studies,"Consulting, Management, Sales, Human Resources and General Business",Clemson University,MBA in Entrepreneurship and Innovation,Continuing Education,2022
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",George Washington University,MPH in Epidemiology,Continuing Education,2022
Interdisciplinary Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Illinois State University,biology,Continuing Education,2022
Mathematics,"Banking, Finance, Real Estate and Insurance","Morningstar, Inc.",Morningstar Development Program,Employed,2022
Mathematics,"Banking, Finance, Real Estate and Insurance",Northwestern Mutual,Financial Representative,Employed,2022
Mathematics,"Consulting, Management, Sales, Human Resources and General Business",NetJets,Operational Analyst,Employed,2022
Mathematics,"Healthcare, Medicine, and Medical Research",National Institutes of Health,Fellow in NHGRI lab,Employed,2022
Mathematics,"Banking, Finance, Real Estate and Insurance",FS Investments,Data Analyst,Employed,2022
Mathematics,"Banking, Finance, Real Estate and Insurance",Fannie Mae,data analyst,Employed,2022
Mathematics,"Science, Technology, Engineering, Mathematics and Computer Science",Stanford University,Data Science,Continuing Education,2022
Music,"Arts, Entertainment, Sports, Communications and Marketing",The Juilliard School,Trumpet Performance,Continuing Education,2022
Philosophy,"Public Policy, Politics and Law","Brock & Scott, PLLC",Legal Assistant,Employed,2022
Philosophy,"Education, Social & Community Services and Nonprofits",Teach For America,Special Education Teacher,Employed,2022
Philosophy,"Public Policy, Politics and Law",Columbia University,Law And Business (Jd/Mba),Continuing Education,2022
Physics,"Science, Technology, Engineering, Mathematics and Computer Science",Genesis Engineering,Physics engineer,Employed,2022
Physics,"Science, Technology, Engineering, Mathematics and Computer Science",Appalachian State University,Engineering Physics,Continuing Education,2022
Physics,"Science, Technology, Engineering, Mathematics and Computer Science",Michigan State University,Nuclear Physics,Continuing Education,2022
Political Science,"Consulting, Management, Sales, Human Resources and General Business",McMaster-Carr,Managment,Employed,2022
Political Science,"Education, Social & Community Services and Nonprofits",Great Hearts Academies (GREAT HEARTS AMERICA),Lead Teacher,Employed,2022
Political Science,"Public Policy, Politics and Law",Lead for North Carolina at the UNC School of Government,County planning fellow,Employed,2022
Political Science,"Arts, Entertainment, Sports, Communications and Marketing",Townsquare Interactive,Digital Marketing Specialist,Employed,2022
Political Science,"Arts, Entertainment, Sports, Communications and Marketing",Allen & Gerritsen,Strategy Intern,Employed,2022
Political Science,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Strategy Analyst,Employed,2022
Political Science,"Science, Technology, Engineering, Mathematics and Computer Science",Tresata,Data Engineer,Employed,2022
Political Science,"Consulting, Management, Sales, Human Resources and General Business",L.E.K. Consulting,Consulting Business Associate,Employed,2022
Political Science,"Public Policy, Politics and Law",Lead for North Carolina at the UNC School of Government,Fellow,Employed,2022
Political Science,"Public Policy, Politics and Law",Jeff Jackson for Congress,Deputy Campaign Manager,Employed,2022
Political Science,"Education, Social & Community Services and Nonprofits","CIEE: Council on International Educational Exchange, Inc.",English Language Assistant,Employed,2022
Political Science,"Public Policy, Politics and Law",MITRE Corporation,Associate Software Engineer,Employed,2022
Political Science,"Education, Social & Community Services and Nonprofits",Fulbright Association,English Teaching Assistant,Employed,2022
Political Science,"Banking, Finance, Real Estate and Insurance",Babson College,Masters in Finance,Continuing Education,2022
Political Science,"Public Policy, Politics and Law",Columbia Law School,Law,Continuing Education,2022
Political Science,"Education, Social & Community Services and Nonprofits",Relay Graduate School of Education,Masters in the Art of Teaching,Continuing Education,2022
Political Science,"Public Policy, Politics and Law",American University,Juris Doctor (JD),Continuing Education,2022
Political Science,"Public Policy, Politics and Law",Liberty University,Law,Continuing Education,2022
Political Science,"Public Policy, Politics and Law",Stanford University,Law,Continuing Education,2022
Political Science,"Banking, Finance, Real Estate and Insurance",University of North Carolina‚ÄìWilmington,Accounting,Continuing Education,2022
Political Science,"Arts, Entertainment, Sports, Communications and Marketing",North Carolina State University,Liberal,Continuing Education,2022
Religious Studies,"Consulting, Management, Sales, Human Resources and General Business",Ettain Group,Technical Recruiter,Employed,2022
Sociology,"Education, Social & Community Services and Nonprofits",Davidson College,Experiential Learning Program Fellow,Employed,2022
Sociology,"Arts, Entertainment, Sports, Communications and Marketing",The Indianapolis Star,News Reporter,Employed,2022
Sociology,"Public Policy, Politics and Law",McAllister & Quinn,Research Analyst (Higher Education Practice),Employed,2022
Sociology,"Arts, Entertainment, Sports, Communications and Marketing",Independent,,Employed,2022
Sociology,"Arts, Entertainment, Sports, Communications and Marketing",The University of Amsterdam,Sociology,Continuing Education,2022
Theatre,"Consulting, Management, Sales, Human Resources and General Business","NuSource, LLC",,Employed,2022
Africana Studies,"Education, Social & Community Services and Nonprofits",Teach For America,Elementary School Teacher,Employed,2021
Africana Studies,"Arts, Entertainment, Sports, Communications and Marketing","The Estee Lauder Companies, Inc.",Presidential Associate-Online Track,Employed,2021
Africana Studies,"Education, Social & Community Services and Nonprofits",Davidson College,Human Resources Fellow,Employed,2021
Anthropology,"Consulting, Management, Sales, Human Resources and General Business",H-E-B Texas Grocery,Grocery Store Bagger,Employed,2021
Anthropology,"Education, Social & Community Services and Nonprofits",AmeriCorps,Mobile Grocery Market Coordinator VISTA Member,Employed,2021
Anthropology,"Healthcare, Medicine, and Medical Research",Mountain Area Health Education Center,Davidson Impact Fellow (Position 2),Employed,2021
Anthropology,"Science, Technology, Engineering, Mathematics and Computer Science",Negometrix USA Inc.,Consultant,Employed,2021
Anthropology,"Public Policy, Politics and Law",Sciences Po,Social Policy,Continuing Education,2021
Anthropology,,The University of Georgia,Masters,Continuing Education,2021
Art,"Education, Social & Community Services and Nonprofits","Humanities, Arts & Society",Design / Art,Employed,2021
Biology,"Consulting, Management, Sales, Human Resources and General Business",A Bar A Ranch,Fly Fishing Guide,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",National Institutes of Health,Research Assistant,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",Emory University,Research Assistant,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",National Cancer Institute,Research assistant,Employed,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",SailPoint,Business Analyst,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",Skin Care Specialty Physicians,Medical assistant,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",Vanda Pharmaceuticals Inc.,Clinical,Employed,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",The Jones Center at Ichauway,Plant Conservation Technician II,Employed,2021
Biology,"Education, Social & Community Services and Nonprofits",Atrium Health ( Formerly known as Carolinas HealthCare System),Impact Scholar,Employed,2021
Biology,"Education, Social & Community Services and Nonprofits",Davidson College - On Campus Employment,Gig Hub Consultant,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",Oconee Valley Healthcare,Medical Assistant/Translator,Employed,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",MiMedx,Sales Development Specialist,Employed,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",PA Consulting,Analyst,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",Moffitt Cancer Center,Research associate,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",CHI Memorial Hospital,Nonemergency Medical Transporter,Employed,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",University of Illinois at Urbana-Champaign - Extension,Seasonal Biology Field Technician,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",National Institutes of Health,IRTA Fellow,Employed,2021
Biology,"Healthcare, Medicine, and Medical Research",Indiana University System,Medicine,Continuing Education,2021
Biology,"Healthcare, Medicine, and Medical Research",Johns Hopkins University,Nursing,Continuing Education,2021
Biology,"Healthcare, Medicine, and Medical Research",Texas Tech University Health Sciences Center,Physician Assistant Studies,Continuing Education,2021
Biology,"Healthcare, Medicine, and Medical Research",University of Louisville,Dentistry,Continuing Education,2021
Biology,"Healthcare, Medicine, and Medical Research",University of Wisconsin‚ÄìMadison School of Medicine and Public Health,Medicine,Continuing Education,2021
Biology,"Healthcare, Medicine, and Medical Research",Wake Forest University,Biomedical Sciences,Continuing Education,2021
Biology,"Healthcare, Medicine, and Medical Research",Wake Forest University,Medicine,Continuing Education,2021
Biology,"Public Policy, Politics and Law",Washington University in Saint Louis,Law,Continuing Education,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",Florida International University,Biochemistry,Continuing Education,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",Harvard University,Computational Biology,Continuing Education,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",Nicholas School of the Environment (Duke University),Environmental Management,Continuing Education,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",Wake Forest University,Sustainability,Continuing Education,2021
Biology,"Science, Technology, Engineering, Mathematics and Computer Science",Washington University in Saint Louis,Electrical Engineering (BS) & Biomedical Engineering (MS),Continuing Education,2021
Chemistry,"Education, Social & Community Services and Nonprofits",Blue Ridge Fellows,Fellow,Employed,2021
Chemistry,"Healthcare, Medicine, and Medical Research",MedServe,Medical Assistant,Employed,2021
Chemistry,"Healthcare, Medicine, and Medical Research","Charlotte Community Health Clinic, Inc",Davidson impact fellow,Employed,2021
Chemistry,"Healthcare, Medicine, and Medical Research",Southeast Orthopedic Specialists,Scribe,Employed,2021
Chemistry,"Healthcare, Medicine, and Medical Research",Tryon Medical Partners,Dermatology Medical Assistant Intern,Employed,2021
Chemistry,"Healthcare, Medicine, and Medical Research",Dana-Farber Cancer Institute,Flow Cytometry Technologist,Employed,2021
Chemistry,"Healthcare, Medicine, and Medical Research",Massachusetts General Hospital,Clinical Research Coordinator,Employed,2021
Chemistry,"Public Policy, Politics and Law",Harvard University,,Continuing Education,2021
Chemistry,"Science, Technology, Engineering, Mathematics and Computer Science",New York Medical College,,Continuing Education,2021
Chemistry,"Science, Technology, Engineering, Mathematics and Computer Science",University of North Carolina‚ Chapel Hill,,Continuing Education,2021
Classical Studies,"Education, Social & Community Services and Nonprofits",St. Johns Classical Academy,Latin Teacher,Employed,2021
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science","GatherWare, Inc",Founder,Employed,2021
Computer Science,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Big Data Developer,Employed,2021
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Amazon,Software Development Engineer I,Employed,2021
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",Credera,Technology Consultant,Employed,2021
Computer Science,"Healthcare, Medicine, and Medical Research",IBM Watson Health,Analysf,Employed,2021
Computer Science,"Education, Social & Community Services and Nonprofits",Gibson Consulting,Research Assistant,Employed,2021
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science","RetailMeNot, Inc.",Software Engineer 1,Employed,2021
Computer Science,"Education, Social & Community Services and Nonprofits",Davidson College,Technology Support Fellow,Employed,2021
Computer Science,"Banking, Finance, Real Estate and Insurance",Bank of America,Technology Analyst,Employed,2021
Computer Science,"Education, Social & Community Services and Nonprofits",Fulbright U.S. Student Program,,Employed,2021
Computer Science,"Science, Technology, Engineering, Mathematics and Computer Science",University of Michigan,Computer Science PhD,Continuing Education,2021
East Asian Studies,"Healthcare, Medicine, and Medical Research",Johns Hopkins University,Masters in Nursing,Continuing Education,2021
Economics,"Banking, Finance, Real Estate and Insurance",PricewaterhouseCoopers (PwC),Associate,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Bank of America,Leveraged Finance - Analyst,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Bank of America,Analyst (Investment Banking),Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Barings,"Analyst, Global Private Finance",Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",JPMorgan Chase & Co.,Markets sales,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Investment Banking Analyst,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Investment Banking Analyst,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Wells Fargo,Analyst,Employed,2021
Economics,"Public Policy, Politics and Law",Federal Deposit Insurance Corporation,Bank Examiner,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Freddie Mac,Capital Markets Analyst Rotation Program,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance","Morningstar, Inc.","Customer Support Representative, Morningstar Development Program",Employed,2021
Economics,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Business Analyst,Employed,2021
Economics,"Consulting, Management, Sales, Human Resources and General Business",McKinsey & Company,Business Analyst,Employed,2021
Economics,"Consulting, Management, Sales, Human Resources and General Business",State Line Lighting,Delivery Driver,Employed,2021
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Amazon,Soft dev Manager I,Employed,2021
Economics,"Consulting, Management, Sales, Human Resources and General Business",Inspiratus Consulting Ltd,Consultant/sports manager,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Brex,Operations Rotational Analyst,Employed,2021
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Brex,Operations Rotational Analyst,Employed,2021
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Brex,Operations Rotational Analyst,Employed,2021
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Flow Automotive Inc.,Junior Management Services Analyst,Employed,2021
Economics,"Arts, Entertainment, Sports, Communications and Marketing",SOCO,Gallery assistant,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance","HR&A Advisors, Inc.",Research Analyst,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Wayfinder Real Estate,Development Analyst,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Truist,Analyst,Employed,2021
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Insurify,Product Analyst,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",U.S. Bank,Financial Analyst,Employed,2021
Economics,"Consulting, Management, Sales, Human Resources and General Business",Charles River Associates,Competition and Antitrust Analyst,Employed,2021
Economics,"Banking, Finance, Real Estate and Insurance",Corporate Fleet Services,Market Analyst,Employed,2021
Economics,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Analyst,Employed,2021
Economics,"Arts, Entertainment, Sports, Communications and Marketing",University of Southern California,Masters of Communication Management,Continuing Education,2021
Economics,"Banking, Finance, Real Estate and Insurance",Claremont McKenna College,Finance (MFin),Continuing Education,2021
Economics,"Banking, Finance, Real Estate and Insurance",Tulane University,Master of Accounting,Continuing Education,2021
Economics,"Banking, Finance, Real Estate and Insurance",University of New Hampshire,Economics ph,Continuing Education,2021
Economics,"Banking, Finance, Real Estate and Insurance",University of Washington,Economics,Continuing Education,2021
Economics,"Banking, Finance, Real Estate and Insurance",Vanderbilt University,Master of Accountancy,Continuing Education,2021
Economics,"Consulting, Management, Sales, Human Resources and General Business",Durham University,Human Resource Management,Continuing Education,2021
Economics,"Public Policy, Politics and Law",Duke University,masters in econ,Continuing Education,2021
Economics,"Public Policy, Politics and Law",London School of Economics,International Political Economy,Continuing Education,2021
Economics,"Science, Technology, Engineering, Mathematics and Computer Science",Northwestern University,Data Science,Continuing Education,2021
Economics,,University of Notre Dame,Master of,Continuing Education,2021
English,"Education, Social & Community Services and Nonprofits",Au Pair Family,Au Pair,Employed,2021
English,"Education, Social & Community Services and Nonprofits",Teach For America,Corps Member,Employed,2021
English,"Education, Social & Community Services and Nonprofits",College Advising Corps,College Advisor,Employed,2021
English,"Education, Social & Community Services and Nonprofits",Pinewood Preparatory School,High School English Teacher,Employed,2021
English,"Education, Social & Community Services and Nonprofits",Teach For America,Corps Member,Employed,2021
English,"Education, Social & Community Services and Nonprofits","Thomas Jefferson Foundation, Inc.",Development Office Assistant,Employed,2021
English,"Consulting, Management, Sales, Human Resources and General Business",Arlington Valley Farms,Production Associate,Employed,2021
English,"Arts, Entertainment, Sports, Communications and Marketing","University of Colorado, Boulder",MFA Creative Writing (Poetry),Continuing Education,2021
English,"Public Policy, Politics and Law",Duke University,Law,Continuing Education,2021
English,"Public Policy, Politics and Law",Vanderbilt University,Law,Continuing Education,2021
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",The Nature Conservancy,Prairie Restoration Technician,Employed,2021
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Cottonwood Canyons Foundation,Invasive Weeds Technician,Employed,2021
Environmental Studies,"Consulting, Management, Sales, Human Resources and General Business",Alzar School,Community and Experiential Advisor,Employed,2021
Environmental Studies,"Public Policy, Politics and Law",Catawba Lands Conservancy,Program Coordinator,Employed,2021
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",SE Group,Environmental Analyst/Planner,Employed,2021
Environmental Studies,"Public Policy, Politics and Law",Town of Ayden,Lead for North Carolina Fellow,Employed,2021
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Catawba Riverkeeper Foundation,Citizen Science Coordinator,Employed,2021
Environmental Studies,"Public Policy, Politics and Law",Tsinghua University,Global Affairs,Continuing Education,2021
Environmental Studies,"Public Policy, Politics and Law",University of Michigan,Environmental Justice,Continuing Education,2021
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Burren College of Art,Art and Ecology,Continuing Education,2021
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Northeastern University,Energy Systems Engineering,Continuing Education,2021
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",University of Exeter,Marine Vertebrate Ecology and Conservation,Continuing Education,2021
Environmental Studies,Sector/Industry,Organization/Institution,Job Title/Program,Continuing Education,2021
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",The Nature Conservancy,Prairie Restoration Technician,Employed,2021
Environmental Studies,"Science, Technology, Engineering, Mathematics and Computer Science",Cottonwood Canyons Foundation,Invasive Weeds Technician,Employed,2021
Environmental Studies,"Consulting, Management, Sales, Human Resources and General Business",Alzar School,Community and Experiential Advisor,Employed,2021
French and Francophone Studies,"Banking, Finance, Real Estate and Insurance",U.S. Bank,Corporate Banking Analyst,Employed,2021
French and Francophone Studies,"Education, Social & Community Services and Nonprofits",Teaching Assistant Program in France,Assistant de langue,Employed,2021
French and Francophone Studies,"Education, Social & Community Services and Nonprofits",Brookstone School,Teacher,Employed,2021
French and Francophone Studies,"Banking, Finance, Real Estate and Insurance",HSBC,IB analyst,Employed,2021
French and Francophone Studies,"Education, Social & Community Services and Nonprofits",University of North Carolina‚ Chapel Hill,Elementary Education,Continuing Education,2021
Hispanic Studies,"Public Policy, Politics and Law",Sidley Austin LLP,Legal Recruiting Assistant,Employed,2021
Hispanic Studies,"Public Policy, Politics and Law",Duke University,Master's in Public Policy,Employed,2021
Hispanic Studies,"Public Policy, Politics and Law",Harvard University,Education Policy and Analysis,Continuing Education,2021
History,"Public Policy, Politics and Law",Army,Medical Service Corps Officer,Employed,2021
History,"Public Policy, Politics and Law","Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.",Project analyst,Employed,2021
History,"Healthcare, Medicine, and Medical Research",WSFS Bank,Summer Associate,Employed,2021
History,"Science, Technology, Engineering, Mathematics and Computer Science",Augur Consulting,Analyst (Management Consulting),Employed,2021
History,"Science, Technology, Engineering, Mathematics and Computer Science",CDW Corporation,Account Representative,Employed,2021
History,"Education, Social & Community Services and Nonprofits",College Advising Corps,College Advisor,Employed,2021
History,"Public Policy, Politics and Law",,,Employed,2021
History,"Education, Social & Community Services and Nonprofits",AJ Fletcher Foundation (WFU Only),Fellow,Employed,2021
History,"Education, Social & Community Services and Nonprofits",Davidson College,JEC Fellow,Employed,2021
History,"Public Policy, Politics and Law",Katten Muchin Rosenman LLP,Real Estate Fellow,Employed,2021
History,"Public Policy, Politics and Law",Covington & Burling LLP,Professional Development Assistant,Employed,2021
History,"Arts, Entertainment, Sports, Communications and Marketing",The Hill,Events Producer,Employed,2021
History,"Science, Technology, Engineering, Mathematics and Computer Science",Red Ventures,Software Engineer,Employed,2021
History,"Education, Social & Community Services and Nonprofits",Duke University,Masters in Divinity,Continuing Education,2021
History,"Education, Social & Community Services and Nonprofits",Johns Hopkins University,Education Secondary Literacy,Continuing Education,2021
History,"Public Policy, Politics and Law",University of Maryland School of Law,Law,Continuing Education,2021
Interdisciplinary Studies,,,,Employed,2021
Interdisciplinary Studies,"Arts, Entertainment, Sports, Communications and Marketing",Bloomingdales,Buyer,Employed,2021
Interdisciplinary Studies,"Consulting, Management, Sales, Human Resources and General Business",Keyot Crew212,Data Analyst Consultant,Employed,2021
Interdisciplinary Studies,"Consulting, Management, Sales, Human Resources and General Business",ON Partners,Consultant,Employed,2021
Interdisciplinary Studies,"Science, Technology, Engineering, Mathematics and Computer Science",National Institutes of Health,Research Assistant,Employed,2021
Interdisciplinary Studies,"Banking, Finance, Real Estate and Insurance",Prop tech Angel Group,Venture Analyst,Employed,2021
Interdisciplinary Studies,"Public Policy, Politics and Law","Proskauer Rose, LLP",Project Assistant,Employed,2021
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits",The Duke Endowment,Fellow,Employed,2021
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits",United Nations Foundation,Girl Up Clubs Coordinator,Employed,2021
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",Chartjoy,Medical Scribe,Employed,2021
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits",Germantown Friends School,Coach and Substitute,Employed,2021
Interdisciplinary Studies,"Banking, Finance, Real Estate and Insurance",Freddie Mac,Digital Design & Content Associate,Employed,2021
Interdisciplinary Studies,"Public Policy, Politics and Law",University of Michigan - Gerald R. Ford School of Public Policy,Research Analyst,Employed,2021
Interdisciplinary Studies,"Education, Social & Community Services and Nonprofits",Wake Forest University,Academic Coordinator in the Office of Academic Advising,Employed,2021
Interdisciplinary Studies,"Arts, Entertainment, Sports, Communications and Marketing",The Creative Circus,Advertising (Copywriting),Continuing Education,2021
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",Brown University,MD,Continuing Education,2021
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",University of California‚ÄìLos Angeles,Medical Informatics,Continuing Education,2021
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",University of Kentucky,Cognitive Neuroscinece,Continuing Education,2021
Interdisciplinary Studies,"Healthcare, Medicine, and Medical Research",Vanderbilt University,Neuroscience,Continuing Education,2021
Interdisciplinary Studies,"Public Policy, Politics and Law",Columbia University,Law,Continuing Education,2021
Interdisciplinary Studies,"Public Policy, Politics and Law",Georgetown University,L,Continuing Education,2021
Interdisciplinary Studies,"Public Policy, Politics and Law",School of Oriental and African Studies,Religion and Politics,Continuing Education,2021
Interdisciplinary Studies,"Public Policy, Politics and Law",University of North Carolina‚ Chapel Hill,Global Studies,Continuing Education,2021
Interdisciplinary Studies,"Public Policy, Politics and Law",Yale School of Public Health,Master Of Public Health,Continuing Education,2021
Interdisciplinary Studies,,Wake Forest University,Secon,Continuing Education,2021
Latin American Studies,"Banking, Finance, Real Estate and Insurance","Banking, Finance, Real Estate and Insurance",Analyst in Rotational Program,Employed,2021
Mathematics,"Banking, Finance, Real Estate and Insurance",Ally Financial Inc,Analyst,Employed,2021
Mathematics,"Banking, Finance, Real Estate and Insurance",Tibra,Quant Trader,Employed,2021
Mathematics,"Science, Technology, Engineering, Mathematics and Computer Science",commonFont,Solutions Consultant,Employed,2021
Mathematics,"Science, Technology, Engineering, Mathematics and Computer Science","Google, Inc.",Engineer,Employed,2021
Mathematics,"Science, Technology, Engineering, Mathematics and Computer Science",North Carolina State University,Analytics,Continuing Education,2021
Mathematics,"Science, Technology, Engineering, Mathematics and Computer Science",University of Tennessee,Mathematical Biology,Continuing Education,2021
Music,"Science, Technology, Engineering, Mathematics and Computer Science",Ceros,Sales Development Representatitve (PR and Marketing),Employed,2021
Music,"Arts, Entertainment, Sports, Communications and Marketing",Carnegie Mellon University,Music Performance (Voice),Continuing Education,2021
Music,"Education, Social & Community Services and Nonprofits",Concordia University‚ Wisconsin,Church Music,Continuing Education,2021
Music,"Public Policy, Politics and Law",Northeastern University,Public Policy,Continuing Education,2021
Philosophy,"Consulting, Management, Sales, Human Resources and General Business",Bain & Company,Associate Consultant,Employed,2021
Philosophy,"Education, Social & Community Services and Nonprofits",Davidson College,Davidson College Advising Corps Advisor,Employed,2021
Philosophy,"Banking, Finance, Real Estate and Insurance",Capital One,Non-associate - Legal and Regulatory Compliance,Employed,2021
Philosophy,"Public Policy, Politics and Law",School of Oriental and African Studies,MA in Near and Middle Eastern Studies,Continuing Education,2021
Philosophy,"Public Policy, Politics and Law",University of Michigan,Masters of Public Policy,Continuing Education,2021
Physics,"Banking, Finance, Real Estate and Insurance",PricewaterhouseCoopers (PwC),"Advisory Associate in Cybersecurity, Privacy, & Forensics",Employed,2021
Physics,"Science, Technology, Engineering, Mathematics and Computer Science",Amazon,Software Development Engineer,Employed,2021
Physics,"Education, Social & Community Services and Nonprofits",Canterbury School,Upper School Science Teacher,Employed,2021
Physics,"Science, Technology, Engineering, Mathematics and Computer Science",Tresata,Data Engineer,Employed,2021
Physics,"Healthcare, Medicine, and Medical Research",Wake Forest University,Biomedical Engineering Ph,Continuing Education,2021
Physics,"Science, Technology, Engineering, Mathematics and Computer Science",Emory University,Condensed Matter Physics,Continuing Education,2021
Physics,"Science, Technology, Engineering, Mathematics and Computer Science",University of Maryland‚ College Park,Physics,Continuing Education,2021
Physics,"Science, Technology, Engineering, Mathematics and Computer Science",University of Wisconsin‚ Madison,Nuclear Engineering and Engineering Physics,Continuing Education,2021
Physics,"Science, Technology, Engineering, Mathematics and Computer Science",Virginia Tech,Physics,Continuing Education,2021
Political Science,"Banking, Finance, Real Estate and Insurance",Fidelity Investments,Fixed Income Research Associate,Employed,2021
Political Science,"Science, Technology, Engineering, Mathematics and Computer Science","VMware, Inc.",Commercial Account Manager,Employed,2021
Political Science,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Business Strategy Analyst,Employed,2021
Political Science,"Consulting, Management, Sales, Human Resources and General Business",Deloitte,Strategy Analyst,Employed,2021
Political Science,"Banking, Finance, Real Estate and Insurance",Fidelity Investments,Emerging Leaders Program Associate,Employed,2021
Political Science,"Consulting, Management, Sales, Human Resources and General Business",JELD-WEN,Early Career rotational associate in operations,Employed,2021
Political Science,"Banking, Finance, Real Estate and Insurance",Ally Financial Inc,Tech specialist,Employed,2021
Political Science,"Consulting, Management, Sales, Human Resources and General Business","Point B, Inc.",Analyst,Employed,2021
Political Science,"Education, Social & Community Services and Nonprofits",Guilford County Schools,Elementary Teacher,Employed,2021
